hour,day_of_week,is_weekend,road_type,weather,temperature,precipitation,vehicle_count,free_flow_speed,avg_speed,delay_min,risk_score,congestion_level
6,1,0,Urban,Clear,16.8,0.0,233,40.2,35.8,1.6,10,LOW
19,1,0,Arterial,Clear,30.0,0.0,1025,60.6,25.9,18.7,97,HIGH
14,1,0,Highway,Clear,28.7,0.0,920,82.3,66.0,3.2,21,LOW
10,3,0,Urban,Rain,24.7,4.93,934,33.7,8.0,28.0,73,HIGH
7,2,0,Highway,Clear,28.1,0.0,389,88.8,81.5,1.9,31,LOW
20,1,0,Highway,Clear,20.5,0.0,2204,96.5,15.1,21.5,96,HIGH
6,6,1,Arterial,Clear,28.6,0.0,408,52.6,47.9,1.4,8,LOW
18,1,0,Arterial,Clear,29.5,0.0,1486,60.6,11.9,13.2,76,HIGH
22,5,1,Highway,Fog,36.5,0.33,597,90.4,60.3,7.0,53,MEDIUM
10,0,0,Urban,Clear,41.4,0.0,874,43.7,8.7,24.3,73,HIGH
10,5,1,Arterial,Clear,26.1,0.0,350,64.1,58.7,0.8,18,LOW
23,5,1,Arterial,Clear,19.1,0.0,191,60.6,59.0,0.5,18,LOW
20,0,0,Urban,Clear,30.7,0.0,1200,39.7,8.0,24.0,89,HIGH
3,6,1,Arterial,Clear,27.1,0.0,329,57.1,54.7,1.2,21,LOW
7,2,0,Highway,Clear,26.8,0.0,503,84.3,77.9,0.0,15,LOW
23,5,1,Highway,Clear,16.7,0.0,760,86.9,73.1,0.6,10,LOW
2,2,0,Urban,Rain,28.7,1.03,289,36.7,30.3,2.1,35,LOW
21,5,1,Highway,Clear,31.0,0.0,962,89.5,65.7,8.9,55,MEDIUM
20,4,0,Arterial,Clear,35.0,0.0,1513,59.9,9.1,17.3,80,HIGH
1,0,0,Arterial,Clear,24.5,0.0,260,58.9,56.4,2.1,8,LOW
23,5,1,Arterial,Clear,22.2,0.0,184,60.4,58.2,1.8,11,LOW
11,4,0,Highway,Clear,24.4,0.0,1266,87.7,54.0,8.9,59,MEDIUM
5,3,0,Arterial,Rain,34.5,4.2,426,63.4,48.8,1.7,36,LOW
1,4,0,Arterial,Clear,37.7,0.0,345,60.9,58.4,0.1,22,LOW
20,1,0,Urban,Clear,35.8,0.0,1038,38.5,8.0,26.3,73,HIGH
0,5,1,Highway,Clear,32.5,0.0,514,84.2,79.2,1.6,35,LOW
11,4,0,Arterial,Clear,27.8,0.0,834,59.7,36.2,7.3,60,MEDIUM
21,2,0,Arterial,Clear,28.9,0.0,268,64.6,60.9,0.5,35,LOW
11,3,0,Arterial,Clear,29.9,0.0,855,62.4,39.6,6.2,66,MEDIUM
16,6,1,Arterial,Clear,26.2,0.0,807,63.0,41.8,6.0,54,MEDIUM
9,5,1,Highway,Clear,34.2,0.0,464,93.6,87.1,2.2,25,LOW
15,1,0,Highway,Clear,16.4,0.0,696,96.1,85.2,1.7,8,LOW
14,6,1,Arterial,Clear,17.7,0.0,746,63.4,48.0,1.1,21,LOW
14,4,0,Arterial,Clear,16.4,0.0,690,60.6,46.8,0.8,20,LOW
18,6,1,Arterial,Clear,22.4,0.0,816,58.4,33.5,8.4,63,MEDIUM
11,6,1,Highway,Clear,37.4,0.0,650,94.4,81.1,0.2,18,LOW
22,3,0,Highway,Storm,19.7,23.78,548,77.9,45.9,7.5,45,MEDIUM
19,6,1,Highway,Clear,19.9,0.0,1454,96.3,44.3,26.7,83,HIGH
